Area,Year,Month,Time,Crime Type,Latitude,Longitude
Basapura,2016,5,,PUBLIC SAFETY,12.5211,77.3912
Basapura,2020,3,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8843,77.6431
Basapura,2016,11,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8664,77.6555
Basavanagudi,2015,,,Chain Snatching,12.9097051,77.5811038
Basavanagudi,2018,,,Chain Snatching,12.849751,77.895421
Basavanagudi,2018,,,Robbery,12.937108,77.601273
Basavanagudi,2016,,,Chain Snatching,12.86977032,77.57576426
Basavanagudi,2018,,,Chain Snatching,12.868153,77.57441
Basavasamithi Layout,2017,6,,CrPC,13.0736,77.5668
Basavasamithi Layout,2017,2,,THEFT,13.0749,77.5584
Bazar Street,2016,12,,CASES OF HURT,12.9848,77.6225
Bazar Street,2017,10,,THEFT,12.9744,77.6239
Beleshivale,2024,2,,CYBER CRIME,13.0593,77.6731
Benniganahalli,2023,3,,THEFT,77.6638,12.9933
Berlie street,2019,1,,CASES OF HURT,77.6068,12.9648
Bhakshi Garden,2022,10,,ASSAULT,12.9772,77.5769
Bharathi layout,2021,7,,THEFT,12.9255,77.604
Bharathi layout,2022,3,,PUBLIC SAFETY,12.9264,77.6055
Binnamangala,2021,7,,THEFT,13.0856,77.4111
Bowring Hospital Road,2019,1,,THEFT,12.9824,77.6034
Bugle Rock Road,2022,12,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9403,77.5687
Byatarayanapura,2024,1,,THEFT,13.7217,77.5855
Byrasandra,2018,1,,POCSO,12.9396,77.5942
Byraweshwara Nagara,2024,1,,MOLESTATION,12.9674,77.5223
C K Achuktu,2017,,,2 wheeler theft,12.91802,77.58833
C K Achuktu,2016,,,2 wheeler theft,12.93426,77.59269
C K Achuktu,2019,,,2 wheeler theft,12.92367,77.58374
C K Achuktu,2016,,,2 wheeler theft,12.93297,77.58395
C K Achuktu,2016,,,2 wheeler theft,12.94042227,77.57639175
C.K. ACHHUKATTU,2020,3,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9314,77.5631
C.K. ACHHUKATTU,2016,12,,THEFT,12.5613,77.9316
C.K.C.GARDEN,2020,10,,MISSING PERSON,12.9602,77.5891
C.K.C.GARDEN,2020,1,,CHEATING,12.9656,77.5923
CANARA BANK COLONY,2018,10,,THEFT,12.9639,77.5218
CANARA BANK COLONY,2019,7,,THEFT,12.5714,77.3138
CANARA BANK COLONY,2022,5,,THEFT,12.9533,77.5345
CANARA BANK COLONY,2022,6,,THEFT,12.9519,77.5295
CANARA BANK COLONY,2021,12,,FORGERY,12.9553,77.5281
CANARA BANK COLONY,2019,7,,PUBLIC SAFETY,12.9567,77.5286
CENTRAL EXCISE LAYOUT,2021,2,,POCSO,13.0427,77.5767
CENTRAL EXCISE LAYOUT,2019,8,,CASES OF HURT,13.0388,77.5759
CENTRAL EXCISE LAYOUT,2021,9,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.0428,77.5808
CENTRAL EXCISE LAYOUT,2016,9,,MISSING PERSON,77.5784,13.0371
CHAKRAVARTHI LAYOUT,2021,9,,SCHEDULED CASTE AND THE SCHEDULED TRIBES,12.9947,77.5888
CHAMARAJAPETE,2017,7,,Karnataka State Local Act,12.9589,77.5705
CHAMUNDI NAGAR,2016,9,,KIDNAPPING AND ABDUCTION,13.0265,77.5992
CHAMUNDI NAGAR,2020,9,,THEFT,13.0241,77.598
CHANDRALAYOUT,2018,3,,MISSING PERSON,12.9553,77.5249
CHANDRAPPA NAGARA,2020,6,,THEFT,12.9426,77.6003
CHANDRAPPA NAGARA,2023,1,,MISSING PERSON,12.9479,77.6195
CHANDRAPPA NAGARA,2017,1,,CYBER CRIME,12.9432,77.5989
CHANNAPURA,2022,5,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1076,77.8743
CHANNASANDRA,2021,11,,BURGLARY - NIGHT,12.9797,77.7616
CHANNASANDRA,2024,1,,ATTEMPT TO MURDER,12.9105,77.4816
CHANNIGALAPURA,2021,8,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1506,77.8684
CHENNAHALLI,2020,10,,Karnataka State Local Act,13.2157,77.7479
CHICKPET,2023,11,,THEFT,13.2924,77.542
CHICKPET MAIN ROAD,2018,10,,COPY RIGHT ACT 1957,12.9701,77.5742
CHICKPET MAIN ROAD,2024,2,,MISSING PERSON,12.9711,77.5752
CHICKPET MAIN ROAD,2023,4,,BURGLARY - NIGHT,12.9648,77.585
CHIKKABANAVARA,2018,4,,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),13.0505,77.2908
CHIKKABANAVARA,2020,11,,MISSING PERSON,13.0663,77.5118
CHIKKABANAVARA,2017,1,,CASES OF HURT,13.0663,77.5118
CHIKKABANAVARA,2019,4,,CRIMES RELATED TO WOMEN,13.0791,77.5132
CHIKKABELAVANGALA,2022,1,,WRONGFUL RESTRAINT/CONFINEMENT,13.27,77.4158
CHIKKABIDARAKALLU,2023,7,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0557,77.4778
CHIKKABIDARAKALLU,2021,1,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0559,77.4767
CHIKKABIDARAKALLU,2019,3,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.058,77.4689
CHIKKABIDARAKALLU,2022,10,,MOTOR VEHICLE ACCIDENTS FATAL,13.0574,77.4706
CHIKKABIDARAKALLU,2019,9,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0517,77.4882
CHIKKABIDARAKALLU,2019,12,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0529,77.4851
CHIKKABIDIRAKALLU,2020,12,,CHEATING,13.0514,77.476
CHIKKABIDIRAKALLU,2023,11,,THEFT,13.0645,77.4676
CHIKKABIDIRAKALLU,2024,1,,THEFT,13.0624,77.4857
CHIKKABIDIRAKALLU,2022,5,,ROBBERY,13.0696,77.4883
CHIKKABIDIRAKALLU,2023,9,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0561,77.4654
CHIKKABOMMASANDRA,2023,7,,CYBER CRIME,13.09,77.57
